nom,code,codeDepartement,siren,codeEpci,codeRegion,codesPostaux,population
L'Abergement-Clémenciat,01001,01,210100012,200069193,84,['01400'],806
L'Abergement-de-Varey,01002,01,210100020,240100883,84,['01640'],262
Ambérieu-en-Bugey,01004,01,210100046,240100883,84,['01500'],14288
Ambérieux-en-Dombes,01005,01,210100053,200042497,84,['01330'],1782
Ambléon,01006,01,210100061,200040350,84,['01300'],113
Ambronay,01007,01,210100079,240100883,84,['01500'],2827
Ambutrix,01008,01,210100087,240100883,84,['01500'],768
Andert-et-Condon,01009,01,210100095,200040350,84,['01300'],324
Anglefort,01010,01,210100103,200070852,84,['01350'],1101
Apremont,01011,01,210100111,200042935,84,['01100'],368
Aranc,01012,01,210100129,200042935,84,['01110'],327
Arandas,01013,01,210100137,240100883,84,['01230'],143
Arbent,01014,01,210100145,200042935,84,['01100'],3336
Arboys en Bugey,01015,01,200053668,200040350,84,['01300'],663
Arbigny,01016,01,210100160,200071371,84,['01190'],458
Argis,01017,01,210100178,240100883,84,['01230'],445
Armix,01019,01,210100194,200040350,84,['01510'],26
Ars-sur-Formans,01021,01,210100210,200042497,84,['01480'],1490
Artemare,01022,01,210100228,200040350,84,['01510'],1213
Asnières-sur-Saône,01023,01,210100236,200071371,84,['01570'],76
Attignat,01024,01,210100244,200071751,84,['01340'],3299
Bâgé-Dommartin,01025,01,200077220,200071371,84,['01380'],4068
Bâgé-le-Châtel,01026,01,210100269,200071371,84,['01380'],977
Balan,01027,01,210100277,240100610,84,['01360'],2647
Baneins,01028,01,210100285,200069193,84,['01990'],625
Beaupont,01029,01,210100293,200071751,84,['01270'],683
Beauregard,01030,01,210100301,200042497,84,['01480'],821
Bellignat,01031,01,210100319,200042935,84,['01100'],3671
Béligneux,01032,01,210100327,240100610,84,['01360'],3414
Valserhône,01033,01,200083863,240100891,84,['01200'],16434
Belley,01034,01,210100343,200040350,84,['01300'],9207
Belleydoux,01035,01,210100350,200042935,84,['01130'],308
Valromey-sur-Séran,01036,01,200086411,200040350,84,['01260'],1334
Bénonces,01037,01,210100376,240100883,84,['01470'],309
Bény,01038,01,210100384,200071751,84,['01370'],759
Béréziat,01040,01,210100400,200071751,84,['01340'],480
Bettant,01041,01,210100418,240100883,84,['01500'],748
Bey,01042,01,210100426,200070555,84,['01290'],291
Beynost,01043,01,210100434,240100800,84,['01700'],4829
Billiat,01044,01,210100442,240100891,84,['01200'],628
Birieux,01045,01,210100459,200069193,84,['01330'],285
Biziat,01046,01,210100467,200070555,84,['01290'],912
Blyes,01047,01,210100475,240100883,84,['01150'],1269
La Boisse,01049,01,210100491,240100610,84,['01120'],3335
Boissey,01050,01,210100509,200071371,84,"['01190', '01380']",380
Bolozon,01051,01,210100517,200042935,84,['01450'],91
Bouligneux,01052,01,210100525,200069193,84,['01330'],332
Bourg-en-Bresse,01053,01,210100533,200071751,84,['01000'],41681
Bourg-Saint-Christophe,01054,01,210100541,240100883,84,['01800'],1482
Boyeux-Saint-Jérôme,01056,01,210100566,200029999,84,['01640'],351
Boz,01057,01,210100574,200071371,84,['01190'],514
Brégnier-Cordon,01058,01,210100582,200040350,84,['01300'],819
Brénod,01060,01,210100608,200042935,84,['01110'],486
Brens,01061,01,210100616,200040350,84,['01300'],1133
Bressolles,01062,01,210100624,240100610,84,['01360'],951
Brion,01063,01,210100632,200042935,84,['01460'],561
Briord,01064,01,210100640,240100883,84,['01470'],1095
Buellas,01065,01,210100657,200071751,84,['01310'],1825
La Burbanche,01066,01,210100665,200040350,84,['01510'],92
Ceignes,01067,01,210100673,200042935,84,['01430'],259
Cerdon,01068,01,210100681,200029999,84,['01450'],771
Certines,01069,01,210100699,200071751,84,['01240'],1514
Cessy,01071,01,210100715,240100750,84,['01170'],5045
Ceyzériat,01072,01,210100723,200071751,84,['01250'],3202
Ceyzérieu,01073,01,210100731,200040350,84,['01350'],995
Chalamont,01074,01,210100749,200069193,84,['01320'],2574
Chaleins,01075,01,210100756,200070118,84,['01480'],1402
Chaley,01076,01,210100764,240100883,84,['01230'],122
Challes-la-Montagne,01077,01,210100772,200029999,84,['01450'],192
Challex,01078,01,210100780,240100750,84,['01630'],1597
Champagne-en-Valromey,01079,01,210100798,200040350,84,['01260'],822
Champdor-Corcelles,01080,01,200056695,200042935,84,['01110'],636
Champfromier,01081,01,210100814,240100891,84,['01410'],726
Chanay,01082,01,210100822,240100891,84,['01420'],637
Chaneins,01083,01,210100830,200069193,84,['01990'],965
Chanoz-Châtenay,01084,01,210100848,200070555,84,['01400'],921
La Chapelle-du-Châtelard,01085,01,210100855,200069193,84,['01240'],397
Charix,01087,01,210100871,200042935,84,['01130'],279
Charnoz-sur-Ain,01088,01,210100889,240100883,84,['01800'],902
Château-Gaillard,01089,01,210100897,240100883,84,['01500'],2254
Châtenay,01090,01,210100905,200069193,84,['01320'],361
Châtillon-la-Palud,01092,01,210100921,200069193,84,['01320'],1622
Châtillon-sur-Chalaronne,01093,01,210100939,200069193,84,['01400'],4968
Chavannes-sur-Reyssouze,01094,01,210100947,200071371,84,['01190'],761
Nivigne et Suran,01095,01,200062537,200071751,84,['01250'],843
Chaveyriat,01096,01,210100962,200070555,84,['01660'],1033
Chazey-Bons,01098,01,200063121,200040350,84,"['01300', '01510']",1175
Chazey-sur-Ain,01099,01,210100996,240100883,84,['01150'],1590
Cheignieu-la-Balme,01100,01,210101002,200040350,84,['01510'],131
Chevillard,01101,01,210101010,200042935,84,['01430'],152
Chevroux,01102,01,210101028,200071371,84,['01190'],966
Chevry,01103,01,210101036,240100750,84,['01170'],2226
Chézery-Forens,01104,01,210101044,240100750,84,"['01200', '01410']",453
Civrieux,01105,01,210101051,200042497,84,['01390'],1867
Cize,01106,01,210101069,200071751,84,['01250'],178
Cleyzieu,01107,01,210101077,240100883,84,['01230'],136
Coligny,01108,01,210101085,200071751,84,['01270'],1161
Collonges,01109,01,210101093,240100750,84,['01550'],2230
Colomieu,01110,01,210101101,200040350,84,['01300'],159
Conand,01111,01,210101119,240100883,84,['01230'],133
Condamine,01112,01,210101127,200042935,84,['01430'],467
Condeissiat,01113,01,210101135,200069193,84,['01400'],817
Confort,01114,01,210101143,240100891,84,['01200'],693
Confrançon,01115,01,210101150,200071751,84,['01310'],1339
Contrevoz,01116,01,210101168,200040350,84,['01300'],496
Conzieu,01117,01,210101176,200040350,84,['01300'],150
Corbonod,01118,01,210101184,200070852,84,['01420'],1279
Corlier,01121,01,210101218,200042935,84,['01110'],116
Cormoranche-sur-Saône,01123,01,210101234,200070555,84,['01290'],1159
Cormoz,01124,01,210101242,200071751,84,['01560'],702
Corveissiat,01125,01,210101259,200071751,84,['01250'],604
Courmangoux,01127,01,210101275,200071751,84,['01370'],506
Courtes,01128,01,210101283,200071751,84,['01560'],301
Crans,01129,01,210101291,200069193,84,['01320'],303
Bresse Vallons,01130,01,200086965,200071751,84,['01340'],2368
Cressin-Rochefort,01133,01,210101333,200040350,84,['01350'],395
Crottet,01134,01,210101341,200070555,84,"['01290', '01750']",1792
Crozet,01135,01,210101358,240100750,84,['01170'],2205
Cruzilles-lès-Mépillat,01136,01,210101366,200070555,84,['01290'],922
Culoz-Béon,01138,01,200099406,200040350,84,['01350'],2987
Curciat-Dongalon,01139,01,210101390,200071751,84,['01560'],444
Curtafond,01140,01,210101408,200071751,84,['01310'],764
Cuzieu,01141,01,210101416,200040350,84,['01300'],443
Dagneux,01142,01,210101424,240100610,84,['01120'],4765
Divonne-les-Bains,01143,01,210101432,240100750,84,['01220'],9999
Dompierre-sur-Veyle,01145,01,210101457,200071751,84,['01240'],1190
Dompierre-sur-Chalaronne,01146,01,210101465,200069193,84,['01400'],436
Domsure,01147,01,210101473,200071751,84,['01270'],509
Dortan,01148,01,210101481,200042935,84,['01590'],1892
Douvres,01149,01,210101499,240100883,84,['01500'],1094
Drom,01150,01,210101507,200071751,84,['01250'],214
Druillat,01151,01,210101515,200071751,84,['01160'],1139
Échallon,01152,01,210101523,200042935,84,['01130'],756
Échenevex,01153,01,210101531,240100750,84,['01170'],2123
Évosges,01155,01,210101556,200042935,84,['01230'],142
Faramans,01156,01,210101564,240100883,84,['01800'],843
Fareins,01157,01,210101572,200042497,84,['01480'],2339
Farges,01158,01,210101580,240100750,84,['01550'],1053
Feillens,01159,01,210101598,200071371,84,['01570'],3366
Ferney-Voltaire,01160,01,210101606,240100750,84,['01210'],10612
Flaxieu,01162,01,210101622,200040350,84,['01350'],65
Foissiat,01163,01,210101630,200071751,84,['01340'],2016
Francheleins,01165,01,210101655,200070118,84,['01090'],1586
Frans,01166,01,210101663,200042497,84,['01480'],2417
Garnerans,01167,01,210101671,200070118,84,['01140'],657
Genouilleux,01169,01,210101697,200070118,84,['01090'],651
Béard-Géovreissiat,01170,01,210101705,200042935,84,['01460'],1044
Géovreisset,01171,01,210101713,200042935,84,['01100'],830
Gex,01173,01,210101739,240100750,84,['01170'],13177
Giron,01174,01,210101747,240100891,84,['01130'],176
Gorrevod,01175,01,210101754,200071371,84,['01190'],790
Grand-Corent,01177,01,210101770,200071751,84,['01250'],184
Grièges,01179,01,210101796,200070555,84,['01290'],1884
Grilly,01180,01,210101804,240100750,84,['01220'],842
Groissiat,01181,01,210101812,200042935,84,['01100'],1241
Guéreins,01183,01,210101838,200070118,84,['01090'],1487
Hautecourt-Romanèche,01184,01,210101846,200071751,84,['01250'],756
Plateau d'Hauteville,01185,01,200086122,200042935,84,['01110'],4824
