code,population
01001,806
01002,262
01004,14288
01005,1782
01006,113
01007,2827
01008,768
01009,324
01010,1101
01011,368
01012,327
01013,143
01014,3336
01015,663
01016,458
01017,445
01019,26
01021,1490
01022,1213
01023,76
01024,3299
01025,4068
01026,977
01027,2647
01028,625
01029,683
01030,821
01031,3671
01032,3414
01033,16434
01034,9207
01035,308
01036,1334
01037,309
01038,759
01040,480
01041,748
01042,291
01043,4829
01044,628
01045,285
01046,912
01047,1269
01049,3335
01050,380
01051,91
01052,332
01053,41681
01054,1482
01056,351
01057,514
01058,819
01060,486
01061,1133
01062,951
01063,561
01064,1095
01065,1825
01066,92
01067,259
01068,771
01069,1514
01071,5045
01072,3202
01073,995
01074,2574
01075,1402
01076,122
01077,192
01078,1597
01079,822
01080,636
01081,726
01082,637
01083,965
01084,921
01085,397
01087,279
01088,902
01089,2254
01090,361
01092,1622
01093,4968
01094,761
01095,843
01096,1033
01098,1175
01099,1590
01100,131
01101,152
01102,966
01103,2226
01104,453
01105,1867
01106,178
01107,136
01108,1161
01109,2230
01110,159
01111,133
01112,467
01113,817
01114,693
01115,1339
01116,496
01117,150
01118,1279
01121,116
01123,1159
01124,702
01125,604
01127,506
01128,301
01129,303
01130,2368
01133,395
01134,1792
01135,2205
01136,922
01138,2987
01139,444
01140,764
01141,443
01142,4765
01143,9999
01145,1190
01146,436
01147,509
01148,1892
01149,1094
01150,214
01151,1139
01152,756
01153,2123
01155,142
01156,843
01157,2339
01158,1053
01159,3366
01160,10612
01162,65
01163,2016
01165,1586
01166,2417
01167,657
01169,651
01170,1044
01171,830
01173,13177
01174,176
01175,790
01177,184
01179,1884
01180,842
01181,1241
01183,1487
01184,756
01185,4824
01187,615
01188,681
01189,1123
01190,86
01191,152
01192,2272
01193,220
01194,6337
01195,1822
01196,1241
01197,377
01198,266
01199,2129
01200,213
01202,7214
01203,1306
01204,746
01206,274
01207,314
01208,135
01209,796
01210,231
01211,1397
01212,712
01213,1332
01214,161
01215,143
01216,893
01219,162
01224,3296
01225,383
01227,642
01228,668
01229,1226
01230,310
01231,1948
01232,2275
01233,130
01234,167
01235,1179
01236,1021
01237,1674
01238,2709
01239,631
01240,628
01241,1379
01242,136
01243,1262
01244,7998
01245,950
01246,2204
01247,299
01248,2245
01249,10202
01250,1979
01252,796
01254,2142
01255,651
01257,351
01258,1194
01259,708
01260,304
01261,681
01262,6864
01263,3761
01264,1017
01265,3499
01266,2576
01267,1008
01268,244
01269,3453
01272,1490
01273,1799
01274,632
01275,2596
01276,1627
01277,115
01279,77
01280,136
01281,4591
01282,258
01283,22271
01284,700
01285,1334
01286,959
01288,2777
01289,6460
01290,1309
01291,844
01293,145
01294,897
01295,676
01296,413
01297,890
01298,157
01299,589
01301,2606
01302,165
01303,1696
01304,2904
01305,2195
01306,1637
01307,840
01308,803
01309,83
01310,249
01311,44
01313,8948
01314,1725
01317,331
01318,735
01319,467
01320,3833
01321,892
01322,5050
01323,1018
01325,1065
01328,606
01329,157
01330,180
01331,192
01332,792
01333,3366
01334,680
01335,410
01336,1187
01337,1336
01338,1245
01339,1484
01342,546
01343,1822
01344,5971
01345,2245
01346,852
01347,2072
01348,3003
01349,523
01350,2538
01351,1602
01352,586
01353,1723
01354,14274
01355,484
01356,203
01357,502
01358,426
01359,251
01360,1934
01361,1600
01362,809
01363,1786
01364,767
01365,1165
01366,1088
01367,726
01368,842
01369,955
01370,1674
01371,1221
01372,441
01373,1009
01374,1877
01375,788
01376,4066
01378,2699
01379,762
01380,612
01381,920
01382,305
01383,1583
01384,2172
01385,964
01386,1117
01387,256
01388,1116
01389,1823
01390,1247
01391,273
01392,654
01393,555
01396,987
01397,988
01398,1438
01399,2145
